id;start_date;end_date;language
1;2019-05-17T03:23:28;2019-05-16T20:31:45;FRENCH
2;2019-05-17T04:53:34;2019-05-16T13:59:44;FRENCH
3;2019-05-17T00:25:38;2019-05-16T15:49:38;FRENCH
4;2019-05-16T13:37:30;2019-05-16T21:04:31;FRENCH
5;2019-05-16T22:36:09;2019-05-17T03:20:17;FRENCH
6;2019-05-17T04:53:09;2019-05-17T06:10:05;FRENCH
7;2019-05-16T14:15:29;2019-05-17T02:56:16;FRENCH
8;2019-05-16T11:46:48;2019-05-16T19:46:57;FRENCH
9;2019-05-16T21:34:54;2019-05-17T05:59:32;FRENCH
10;2019-05-17T00:53:03;2019-05-16T22:09:18;FRENCH
